Word	Pronunciation	Definition
场	chang3	large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams 
唱歌	chang4 ge1	to sing a song
超过	chao1 guo4	to surpass; to exceed; to outstrip
超市	chao1 shi4	supermarket (abbr.); CL:家[jia1]
吵	chao3	to quarrel; to make a noise; noisy; to disturb by making a noise
衬衫	chen4 shan1	shirt; blouse; CL:件[jian4]
成功	cheng2 gong1	success; to succeed; CL:次[ci4],個|个[ge4]
成绩	cheng2 ji4	achievement; performance records; grades; CL:項|项[xiang4],個|个[ge4]
成熟	cheng2 shu2	mature; ripe; Taiwan pr. cheng2 shou2
成为	cheng2 wei2	to become; to turn into
诚实	cheng2 shi2	honest; honesty; honorable; truthful
城市	cheng2 shi4	city; town; CL:座[zuo4]
乘坐	cheng2 zuo4	to ride (in a vehicle)
吃	chi1	to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust
吃惊	chi1 jing1	to be startled; to be shocked; to be amazed
迟到	chi2 dao4	to arrive late
重新	chong2 xin1	again; once more; re-
抽烟	chou1 yan1	to smoke (a cigarette, tobacco)
出	chu1	to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc
出差	chu1 chai1	to go on an official or business trip
出发	chu1 fa1	to start out; to set off
出生	chu1 sheng1	to be born
出现	chu1 xian4	to appear; to arise; to emerge; to show up
出租车	chu1 zu1 che1	taxi
厨房	chu2 fang2	kitchen; CL:間|间[jian1]
除了	chu2 le5	besides; apart from (... also...); in addition to; except (for)
穿	chuan1	to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread
船	chuan2	a boat; vessel; ship; CL:條|条[tiao2],艘[sou1],隻|只[zhi1]
传真	chuan2 zhen1	fax; facsimile
窗户	chuang1 hu5	window; CL:個|个[ge4],扇[shan4]
春	chun1	spring (time); gay; joyful; youthful; love; lust; life
词典	ci2 dian3	dictionary (of Chinese compound words); also written 辭典|辞典[ci2 dian3]; CL:部[bu4],本[ben3]
词语	ci2 yu3	word (general term including monosyllables through to short phrases); term (e.g. technical term); expression
次	ci4	next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
聪明	cong1 ming5	acute (of sight and hearing); clever; intelligent; bright; smart
从	cong2	from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zong4 and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong
从来	cong2 lai2	always; at all times; never (if used in negative sentence)
